Timestamp(ms),Current(uA),D0-D7
727.96,14055.726,00000000
727.97,14055.726,00000000
727.98,14008.437,00000000
727.99,14008.437,00000000
728,14245.006,00000000
728.01,14292.356,00000000
728.02,14245.006,00000000
728.03,14008.437,00000000
728.04,13913.895,00000000
728.05,14008.437,00000000
728.06,14008.437,00000000
728.07,14150.341,00000000
728.08,14103.027,00000000
728.09,14292.356,00000000
728.1,14245.006,00000000
728.11,14245.006,00000000
728.12,13913.895,00000000
728.13,14150.341,00000000
728.14,14197.667,00000000
728.15,14103.027,00000000
728.16,14150.341,00000000
728.17,13913.895,00000000
728.18,13961.159,00000000
728.19,13961.159,00000000
728.2,14197.667,00000000
728.21,14197.667,00000000
728.22,14245.006,00000000
728.23,13866.643,00000000
728.24,13866.643,00000000
728.25,14008.437,00000000
728.26,14339.720,00000000
728.27,14481.882,00000000
728.28,14481.882,00000000
728.29,14245.006,00000000
728.3,14103.027,00000000
728.31,14150.341,00000000
728.32,14103.027,00000000
728.33,14245.006,00000000
728.34,13913.895,00000000
728.35,13961.159,00000000
728.36,14055.726,00000000
728.37,14055.726,00000000
728.38,14008.437,00000000
728.39,14150.341,00000000
728.4,14055.726,00000000
728.41,14008.437,00000000
728.42,14008.437,00000000
728.43,14103.027,00000000
728.44,13913.895,00000000
728.45,14103.027,00000000
728.46,14055.726,00000000
728.47,13961.159,00000000
728.48,14245.006,00000000
728.49,14197.667,00000000
728.5,14245.006,00000000
728.51,14150.341,00000000
728.52,14008.437,00000000
728.53,14055.726,00000000
728.54,14055.726,00000000
728.55,13961.159,00000000
728.56,14197.667,00000000
728.57,14197.667,00000000
728.58,14197.667,00000000
728.59,14292.356,00000000
728.6,14245.006,00000000
728.61,14197.667,00000000
728.62,14103.027,00000000
728.63,14339.720,00000000
728.64,14150.341,00000000
728.65,13961.159,00000000
728.66,13961.159,00000000
728.67,14055.726,00000000
728.68,14055.726,00000000
728.69,14197.667,00000000
728.7,14197.667,00000000
728.71,14197.667,00000000
728.72,14103.027,00000000
728.73,14103.027,00000000
728.74,14150.341,00000000
728.75,14292.356,00000000
728.76,14197.667,00000000
728.77,14150.341,00000000
728.78,13866.643,00000000
728.79,13913.895,00000000
728.8,13819.402,00000000
728.81,14292.356,00000000
728.82,14055.726,00000000
728.83,14245.006,00000000
728.84,14008.437,00000000
728.85,14008.437,00000000
728.86,14103.027,00000000
728.87,14150.341,00000000
728.88,14008.437,00000000
728.89,14055.726,00000000
728.9,13961.159,00000000
728.91,14150.341,00000000
728.92,13961.159,00000000
728.93,14197.667,00000000
728.94,14245.006,00000000
728.95,14103.027,00000000
728.96,14245.006,00000000
728.97,14055.726,00000000
728.98,14245.006,00000000
728.99,14387.095,00000000
729,14434.482,00000000
729.01,14055.726,00000000
729.02,13961.159,00000000
729.03,14008.437,00000000
729.04,14150.341,00000000
729.05,14103.027,00000000
729.06,14103.027,00000000
729.07,14150.341,00000000
729.08,14339.720,00000000
729.09,14008.437,00000000
729.1,14103.027,00000000
729.11,14008.437,00000000
729.12,13913.895,00000000
729.13,13913.895,00000000
729.14,14008.437,00000000
729.15,13913.895,00000000
729.16,14055.726,00000000
729.17,14103.027,00000000
729.18,14245.006,00000000
729.19,14197.667,00000000
729.2,13819.402,00000000
729.21,14008.437,00000000
729.22,13961.159,00000000
729.23,14055.726,00000000
729.24,14103.027,00000000
729.25,14103.027,00000000
729.26,14055.726,00000000
729.27,14103.027,00000000
729.28,13913.895,00000000
729.29,13961.159,00000000
729.3,13961.159,00000000
729.31,13866.643,00000000
729.32,14103.027,00000000
729.33,14150.341,00000000
729.34,14055.726,00000000
729.35,14245.006,00000000
729.36,14197.667,00000000
729.37,14055.726,00000000
729.38,14103.027,00000000
729.39,14055.726,00000000
729.4,13961.159,00000000
729.41,14245.006,00000000
